temperature,date,mois,wind_dire,wind_speed,id
24,"2018-04-23 20:00:00",31,从西南偏西方向吹来的风,4,157
29,"2018-04-23 17:00:00",21,从西南偏西方向吹来的风,4,158
23,"2018-04-23 11:00:00",34,从西南偏南方向吹来的风,4,159
27,"2018-04-23 14:00:00",26,从西南偏西方向吹来的风,5,160
17,"2018-04-23 08:00:00",56,从西南方吹来的风,1,161
18,"2018-04-23 02:00:00",48,从西南方吹来的风,2,162
20,"2018-04-22 23:00:00",44,从西南方吹来的风,3,163
14,"2018-04-23 05:00:00",69,从西南方吹来的风,1,164
23,"2018-04-22 20:00:00",35,从西南方吹来的风,4,165
27,"2018-04-22 17:00:00",25,从西南偏西方向吹来的风,5,166
26,"2018-04-22 14:00:00",25,从西方吹来的风,7,167
22,"2018-04-22 11:00:00",40,从西南方吹来的风,8,168
16,"2018-04-22 08:00:00",62,从南方吹来的风,1,169
16,"2018-04-22 05:00:00",60,从西南方吹来的风,1,170
17,"2018-04-22 02:00:00",56,从西南方吹来的风,3,171
21,"2018-04-21 20:00:00",41,从西南偏南方向吹来的风,3,172
19,"2018-04-21 23:00:00",50,从西南方吹来的风,2,173
22,"2018-04-21 11:00:00",44,从西南方吹来的风,4,174
25,"2018-04-21 14:00:00",37,从西南方吹来的风,5,175
15,"2018-04-21 08:00:00",68,无风,0,176
25,"2018-04-21 17:00:00",35,从西南方吹来的风,4,177
13,"2018-04-21 05:00:00",77,从西南偏南方向吹来的风,1,178
17,"2018-04-20 23:00:00",57,从西南偏西方向吹来的风,3,179
14,"2018-04-21 02:00:00",73,从西南方吹来的风,2,180
20,"2018-04-20 20:00:00",49,从西南方吹来的风,5,181
23,"2018-04-20 14:00:00",47,从西南方吹来的风,6,182
23,"2018-04-20 17:00:00",44,从西南方吹来的风,4,183
19,"2018-04-20 11:00:00",51,从西南方吹来的风,5,184
13,"2018-04-20 08:00:00",82,从西北偏西方向吹来的风,1,185
15,"2018-04-19 23:00:00",69,从西南方吹来的风,3,186
12,"2018-04-20 05:00:00",91,从西南方吹来的风,2,187
18,"2018-04-19 20:00:00",59,从西南偏南方向吹来的风,4,188
14,"2018-04-20 02:00:00",79,从西南方吹来的风,3,189
17,"2018-04-19 11:00:00",71,从西南偏南方向吹来的风,2,190
17,"2018-04-19 14:00:00",73,从西方吹来的风,2,191
19,"2018-04-19 17:00:00",56,从西南偏南方向吹来的风,2,192
13,"2018-04-19 08:00:00",86,从西南偏南方向吹来的风,1,193
19,"2018-04-18 20:00:00",55,从西南偏南方向吹来的风,4,194
13,"2018-04-18 23:00:00",82,从西北偏北方向吹来的风,1,195
13,"2018-04-19 02:00:00",80,从西南方吹来的风,2,196
13,"2018-04-19 05:00:00",85,从西南方吹来的风,2,197
18,"2018-04-18 11:00:00",61,从南方吹来的风,2,198
21,"2018-04-18 17:00:00",49,从东南偏南方向吹来的风,5,199
13,"2018-04-18 08:00:00",78,从北方吹来的风,1,200
22,"2018-04-18 14:00:00",50,从东南方吹来的风,5,201
11,"2018-04-18 05:00:00",89,从西南方吹来的风,1,202
13,"2018-04-17 23:00:00",72,从东南方吹来的风,1,203
13,"2018-04-18 02:00:00",78,从东南偏南方向吹来的风,1,204
16,"2018-04-17 20:00:00",67,从东南偏南方向吹来的风,3,205
22,"2018-04-17 17:00:00",42,从东南偏南方向吹来的风,4,206
22,"2018-04-17 14:00:00",49,从东南偏南方向吹来的风,3,207
18,"2018-04-17 11:00:00",58,从北方吹来的风,1,208
13,"2018-04-17 08:00:00",83,从西北偏北方向吹来的风,1,209
15,"2018-04-16 20:00:00",61,从西南方吹来的风,2,210
12,"2018-04-17 05:00:00",85,从西南方吹来的风,1,211
11,"2018-04-17 02:00:00",85,从东南偏南方向吹来的风,1,212
11,"2018-04-16 23:00:00",84,从东南偏南方向吹来的风,1,213
14,"2018-04-16 11:00:00",61,从西北偏西方向吹来的风,1,214
20,"2018-04-16 17:00:00",42,从南方吹来的风,1,215
11,"2018-04-16 08:00:00",73,从东北方吹来的风,3,216
19,"2018-04-16 14:00:00",49,从南方吹来的风,2,217
12,"2018-04-16 05:00:00",80,从东北方吹来的风,3,218
13,"2018-04-15 23:00:00",83,从东南方吹来的风,2,219
13,"2018-04-16 02:00:00",78,从东北偏东方向吹来的风,4,220
16,"2018-04-15 20:00:00",64,从西南偏南方向吹来的风,1,221
13,"2018-04-15 08:00:00",75,从东南偏东方向吹来的风,3,222
24,"2018-04-15 14:00:00",31,从西南方吹来的风,4,223
18,"2018-04-15 11:00:00",58,从东南偏南方向吹来的风,3,224
16,"2018-04-15 17:00:00",67,从西南方吹来的风,5,225
11,"2018-04-15 05:00:00",86,从东北偏东方向吹来的风,1,226
14,"2018-04-15 02:00:00",74,从东南偏东方向吹来的风,2,227
22,"2018-04-14 20:00:00",34,从西南偏南方向吹来的风,4,228
18,"2018-04-14 23:00:00",50,从西南方吹来的风,2,229
26,"2018-04-14 14:00:00",25,从西南方吹来的风,6,230
25,"2018-04-14 17:00:00",28,从西南偏南方向吹来的风,4,231
16,"2018-04-14 08:00:00",59,从西南偏南方向吹来的风,2,232
23,"2018-04-14 11:00:00",30,从西南偏西方向吹来的风,5,233
19,"2018-04-14 02:00:00",47,从西南偏西方向吹来的风,6,234
14,"2018-04-14 05:00:00",63,从南方吹来的风,1,235
20,"2018-04-13 23:00:00",43,从西方吹来的风,6,236
23,"2018-04-13 20:00:00",31,从西南方吹来的风,3,237
22,"2018-04-13 11:00:00",42,从西南偏西方向吹来的风,5,238
17,"2018-04-13 08:00:00",57,从西南方吹来的风,3,239
26,"2018-04-13 17:00:00",23,从西南偏西方向吹来的风,5,240
26,"2018-04-13 14:00:00",28,从西南方吹来的风,6,241
19,"2018-04-12 23:00:00",46,从西南方吹来的风,4,242
17,"2018-04-13 05:00:00",56,从西方吹来的风,6,243
15,"2018-04-13 02:00:00",63,从西南偏南方向吹来的风,2,244
21,"2018-04-12 20:00:00",38,从西南方吹来的风,3,245
24,"2018-04-12 17:00:00",33,从西南方吹来的风,4,246
23,"2018-04-12 14:00:00",38,从西方吹来的风,9,247
21,"2018-04-12 11:00:00",42,从西南偏西方向吹来的风,10,248
16,"2018-04-12 08:00:00",58,从西南方吹来的风,2,249
21,"2018-04-11 20:00:00",43,从西南偏南方向吹来的风,5,250
16,"2018-04-12 05:00:00",56,从西南方吹来的风,2,251
19,"2018-04-11 23:00:00",52,从西南偏西方向吹来的风,4,252
18,"2018-04-12 02:00:00",51,从西南方吹来的风,5,253
22,"2018-04-11 11:00:00",41,从西南偏西方向吹来的风,4,254
15,"2018-04-11 08:00:00",61,从西南偏西方向吹来的风,1,255
24,"2018-04-11 17:00:00",35,从西南偏西方向吹来的风,5,256
25,"2018-04-11 14:00:00",36,从西南偏西方向吹来的风,6,257
16,"2018-04-11 02:00:00",51,从西南方吹来的风,1,258
14,"2018-04-11 05:00:00",59,从西南方吹来的风,2,259
18,"2018-04-10 23:00:00",52,从西南偏西方向吹来的风,2,260
21,"2018-04-10 20:00:00",38,从西南方吹来的风,3,261
20,"2018-04-10 11:00:00",47,从西南偏西方向吹来的风,7,262
24,"2018-04-10 17:00:00",34,从西南方吹来的风,6,263
15,"2018-04-10 08:00:00",68,从西南偏南方向吹来的风,1,264
24,"2018-04-10 14:00:00",36,从西南方吹来的风,6,265
20,"2018-04-09 20:00:00",51,从西南方吹来的风,5,266
15,"2018-04-10 05:00:00",69,从西南偏西方向吹来的风,2,267
17,"2018-04-09 23:00:00",60,从西南方吹来的风,2,268
15,"2018-04-10 02:00:00",71,从西南偏西方向吹来的风,1,269
11,"2018-04-09 08:00:00",84,从西南方吹来的风,2,270
22,"2018-04-09 14:00:00",41,从西南偏西方向吹来的风,6,271
24,"2018-04-09 17:00:00",40,从西南偏西方向吹来的风,4,272
18,"2018-04-09 11:00:00",58,从西南方吹来的风,6,273
12,"2018-04-09 02:00:00",76,从南方吹来的风,2,274
11,"2018-04-09 05:00:00",83,从西南方吹来的风,2,275
17,"2018-04-08 20:00:00",60,从西北偏西方向吹来的风,1,276
